date,days,rate
06/22/2007,7,5.411251
06/22/2007,14,5.392319
06/22/2007,26,5.384537
06/22/2007,54,5.401941
06/22/2007,89,5.40124
06/22/2007,117,5.399234
06/22/2007,152,5.395963
06/22/2007,180,5.389197
06/22/2007,271,5.368624
06/22/2007,362,5.34959
06/22/2007,453,5.334184
06/22/2007,544,5.327279
06/22/2007,635,5.327372
06/22/2007,726,5.332458
06/22/2007,817,5.341982
06/22/2007,908,5.35511
06/22/2007,999,5.370857
06/22/2007,1090,5.386897
06/22/2007,1181,5.403931
06/22/2007,1272,5.421032
06/22/2007,1363,5.439187
06/22/2007,1454,5.456632
06/22/2007,1552,5.475142
06/22/2007,1643,5.492188
06/22/2007,1734,5.509542
06/22/2007,1825,5.526163
06/22/2007,1916,5.542391
06/22/2007,2007,5.558506
06/22/2007,2098,5.57474
06/22/2007,2189,5.590455
06/22/2007,2280,5.606111
06/22/2007,2371,5.621908
06/22/2007,2462,5.637829
06/22/2007,2553,5.653327
06/22/2007,2644,5.668617
06/22/2007,2735,5.683554
06/22/2007,2826,5.698655
06/22/2007,2917,5.71328
06/22/2007,3008,5.727474
06/22/2007,3099,5.74142
06/22/2007,3190,5.755425
06/22/2007,3281,5.769069
06/22/2007,3379,5.783411
06/22/2007,3470,5.796624
06/22/2007,3554,5.809137
06/22/2007,3652,5.823204
